Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year,"15-24
let","25-29
let","30-39
let","40-49
let","50-54
let","55 let
ali več"
HRPELJE-KOZINA,9.0,10.0,47.0,25.0,20.0,46.0,157.0,JAN,2018,,,,,,
IDRIJA,19.0,34.0,55.0,33.0,43.0,69.0,253.0,JAN,2018,,,,,,
IG,18.0,25.0,33.0,36.0,26.0,65.0,203.0,JAN,2018,,,,,,
ILIRSKA BISTRICA,27.0,47.0,91.0,93.0,75.0,134.0,467.0,JAN,2018,,,,,,
IVANČNA GORICA,47.0,52.0,95.0,89.0,71.0,124.0,478.0,JAN,2018,,,,,,
IZOLA,37.0,55.0,147.0,126.0,86.0,210.0,661.0,JAN,2018,,,,,,
JESENICE,51.0,60.0,129.0,107.0,74.0,222.0,643.0,JAN,2018,,,,,,
JEZERSKO,0.0,4.0,5.0,2.0,2.0,2.0,15.0,JAN,2018,,,,,,
JURŠINCI,13.0,8.0,19.0,15.0,10.0,14.0,79.0,JAN,2018,,,,,,
KAMNIK,74.0,95.0,205.0,166.0,119.0,272.0,931.0,JAN,2018,,,,,,
KANAL,16.0,21.0,49.0,37.0,21.0,48.0,192.0,JAN,2018,,,,,,
KIDRIČEVO,25.0,33.0,36.0,49.0,32.0,47.0,222.0,JAN,2018,,,,,,
KOBARID,8.0,14.0,15.0,21.0,13.0,35.0,106.0,JAN,2018,,,,,,
KOBILJE,3.0,4.0,4.0,8.0,6.0,10.0,35.0,JAN,2018,,,,,,
KOČEVJE,164.0,155.0,303.0,254.0,151.0,257.0,1284.0,JAN,2018,,,,,,
KOMEN,5.0,10.0,20.0,20.0,15.0,37.0,107.0,JAN,2018,,,,,,
KOMENDA,14.0,16.0,35.0,35.0,25.0,38.0,163.0,JAN,2018,,,,,,
KOPER,110.0,174.0,445.0,412.0,261.0,565.0,1967.0,JAN,2018,,,,,,
KOSTANJEVICA NA KRKI,2.0,10.0,23.0,12.0,18.0,24.0,89.0,JAN,2018,,,,,,
KOSTEL,6.0,1.0,5.0,6.0,7.0,10.0,35.0,JAN,2018,,,,,,
KOZJE,4.0,17.0,24.0,28.0,25.0,36.0,134.0,JAN,2018,,,,,,
KRANJ,113.0,199.0,431.0,388.0,198.0,622.0,1951.0,JAN,2018,,,,,,
KRANJSKA GORA,10.0,9.0,23.0,17.0,18.0,49.0,126.0,JAN,2018,,,,,,
KRIŽEVCI,10.0,24.0,24.0,21.0,20.0,39.0,138.0,JAN,2018,,,,,,
KRŠKO,173.0,168.0,310.0,294.0,208.0,402.0,1555.0,JAN,2018,,,,,,
KUNGOTA,22.0,26.0,44.0,49.0,27.0,56.0,224.0,JAN,2018,,,,,,
KUZMA,10.0,10.0,10.0,24.0,7.0,21.0,82.0,JAN,2018,,,,,,
LAŠKO,46.0,76.0,137.0,112.0,71.0,157.0,599.0,JAN,2018,,,,,,
LENART,22.0,33.0,53.0,42.0,29.0,53.0,232.0,JAN,2018,,,,,,
LENDAVA,87.0,71.0,151.0,177.0,117.0,271.0,874.0,JAN,2018,,,,,,
LITIJA,48.0,46.0,113.0,107.0,70.0,128.0,512.0,JAN,2018,,,,,,
LJUBLJANA,694.0,1400.0,3344.0,2725.0,1532.0,3443.0,13138.0,JAN,2018,,,,,,
LJUBNO,14.0,11.0,25.0,8.0,8.0,26.0,92.0,JAN,2018,,,,,,
LJUTOMER,67.0,75.0,105.0,129.0,96.0,194.0,666.0,JAN,2018,,,,,,
LOG - DRAGOMER,8.0,17.0,26.0,23.0,13.0,41.0,128.0,JAN,2018,,,,,,
LOGATEC,34.0,60.0,75.0,94.0,71.0,112.0,446.0,JAN,2018,,,,,,
LOŠKA DOLINA,8.0,21.0,34.0,29.0,22.0,53.0,167.0,JAN,2018,,,,,,
LOŠKI POTOK,4.0,9.0,18.0,14.0,12.0,18.0,75.0,JAN,2018,,,,,,
LOVRENC NA POHORJU,13.0,18.0,37.0,23.0,14.0,37.0,142.0,JAN,2018,,,,,,
LUČE,16.0,14.0,9.0,14.0,10.0,14.0,77.0,JAN,2018,,,,,,
LUKOVICA,13.0,19.0,27.0,32.0,17.0,46.0,154.0,JAN,2018,,,,,,
MAJŠPERK,17.0,21.0,30.0,23.0,12.0,28.0,131.0,JAN,2018,,,,,,
MAKOLE,10.0,10.0,19.0,9.0,14.0,17.0,79.0,JAN,2018,,,,,,
MARIBOR,535.0,791.0,1506.0,1333.0,840.0,1594.0,6599.0,JAN,2018,,,,,,
MARKOVCI,15.0,20.0,33.0,28.0,20.0,20.0,136.0,JAN,2018,,,,,,
MEDVODE,37.0,60.0,122.0,107.0,64.0,173.0,563.0,JAN,2018,,,,,,
MENGEŠ,15.0,40.0,60.0,46.0,33.0,58.0,252.0,JAN,2018,,,,,,
METLIKA,70.0,57.0,91.0,89.0,62.0,111.0,480.0,JAN,2018,,,,,,
MEŽICA,10.0,11.0,28.0,14.0,15.0,29.0,107.0,JAN,2018,,,,,,
MIKLAVŽ NA DRAVSKEM POLJU,25.0,41.0,60.0,56.0,30.0,77.0,289.0,JAN,2018,,,,,,
MIREN-KOSTANJEVICA,7.0,16.0,29.0,20.0,8.0,35.0,115.0,JAN,2018,,,,,,
MIRNA,3.0,8.0,9.0,10.0,21.0,22.0,73.0,JAN,2018,,,,,,
MIRNA PEČ,5.0,9.0,9.0,13.0,8.0,23.0,67.0,JAN,2018,,,,,,
MISLINJA,8.0,20.0,20.0,20.0,10.0,26.0,104.0,JAN,2018,,,,,,
MOKRONOG-TREBELNO,7.0,7.0,14.0,9.0,11.0,32.0,80.0,JAN,2018,,,,,,
MORAVČE,7.0,14.0,25.0,26.0,17.0,27.0,116.0,JAN,2018,,,,,,
MORAVSKE TOPLICE,26.0,33.0,66.0,79.0,48.0,99.0,351.0,JAN,2018,,,,,,
MOZIRJE,16.0,22.0,35.0,27.0,15.0,33.0,148.0,JAN,2018,,,,,,
MURSKA SOBOTA,105.0,141.0,269.0,253.0,172.0,329.0,1269.0,JAN,2018,,,,,,
MUTA,13.0,19.0,28.0,28.0,16.0,32.0,136.0,JAN,2018,,,,,,
NAKLO,11.0,17.0,29.0,24.0,19.0,31.0,131.0,JAN,2018,,,,,,
NAZARJE,9.0,15.0,23.0,21.0,19.0,22.0,109.0,JAN,2018,,,,,,
NOVA GORICA,67.0,111.0,258.0,206.0,117.0,320.0,1079.0,JAN,2018,,,,,,
NOVO MESTO,149.0,167.0,332.0,252.0,134.0,287.0,1321.0,JAN,2018,,,,,,
ODRANCI,5.0,7.0,17.0,22.0,17.0,28.0,96.0,JAN,2018,,,,,,
OPLOTNICA,10.0,19.0,31.0,21.0,10.0,39.0,130.0,JAN,2018,,,,,,
ORMOŽ,103.0,78.0,119.0,127.0,94.0,157.0,678.0,JAN,2018,,,,,,
OSILNICA,1.0,2.0,8.0,2.0,2.0,8.0,23.0,JAN,2018,,,,,,
PESNICA,35.0,34.0,70.0,64.0,47.0,79.0,329.0,JAN,2018,,,,,,
PIRAN,43.0,84.0,217.0,189.0,104.0,240.0,877.0,JAN,2018,,,,,,
PIVKA,14.0,19.0,42.0,43.0,31.0,85.0,234.0,JAN,2018,,,,,,
PODČETRTEK,10.0,17.0,27.0,24.0,15.0,45.0,138.0,JAN,2018,,,,,,
PODLEHNIK,5.0,10.0,11.0,17.0,18.0,15.0,76.0,JAN,2018,,,,,,
PODVELKA,9.0,14.0,17.0,22.0,14.0,22.0,98.0,JAN,2018,,,,,,
POLJČANE,22.0,17.0,37.0,22.0,21.0,42.0,161.0,JAN,2018,,,,,,
POLZELA,21.0,27.0,51.0,57.0,36.0,49.0,241.0,JAN,2018,,,,,,
POSTOJNA,47.0,69.0,162.0,133.0,88.0,182.0,681.0,JAN,2018,,,,,,
PREBOLD,17.0,20.0,48.0,36.0,34.0,54.0,209.0,JAN,2018,,,,,,
PREDDVOR,6.0,11.0,15.0,17.0,7.0,38.0,94.0,JAN,2018,,,,,,
PREVALJE,32.0,35.0,58.0,34.0,42.0,60.0,261.0,JAN,2018,,,,,,
PTUJ,105.0,141.0,199.0,189.0,114.0,221.0,969.0,JAN,2018,,,,,,
PUCONCI,44.0,42.0,80.0,86.0,51.0,98.0,401.0,JAN,2018,,,,,,
RAČE-FRAM,29.0,36.0,67.0,59.0,35.0,94.0,320.0,JAN,2018,,,,,,
RADEČE,13.0,24.0,31.0,38.0,21.0,45.0,172.0,JAN,2018,,,,,,
RADENCI,25.0,23.0,46.0,52.0,41.0,82.0,269.0,JAN,2018,,,,,,
RADLJE OB DRAVI,26.0,13.0,64.0,68.0,43.0,60.0,274.0,JAN,2018,,,,,,
RADOVLJICA,36.0,50.0,87.0,84.0,66.0,154.0,477.0,JAN,2018,,,,,,
RAVNE NA KOROŠKEM,30.0,66.0,102.0,76.0,58.0,90.0,422.0,JAN,2018,,,,,,
RAZKRIŽJE,6.0,3.0,14.0,14.0,8.0,22.0,67.0,JAN,2018,,,,,,
REČICA OB SAVINJI,11.0,18.0,18.0,14.0,13.0,20.0,94.0,JAN,2018,,,,,,
RENČE-VOGRSKO,5.0,12.0,24.0,24.0,10.0,41.0,116.0,JAN,2018,,,,,,
RIBNICA,47.0,56.0,86.0,60.0,35.0,57.0,341.0,JAN,2018,,,,,,
RIBNICA NA POHORJU,4.0,6.0,10.0,17.0,8.0,17.0,62.0,JAN,2018,,,,,,
ROGAŠKA SLATINA,52.0,67.0,99.0,113.0,81.0,149.0,561.0,JAN,2018,,,,,,
ROGAŠOVCI,33.0,21.0,52.0,39.0,35.0,61.0,241.0,JAN,2018,,,,,,
ROGATEC,13.0,23.0,38.0,27.0,27.0,44.0,172.0,JAN,2018,,,,,,
RUŠE,39.0,46.0,67.0,77.0,51.0,73.0,353.0,JAN,2018,,,,,,
SELNICA OB DRAVI,21.0,23.0,37.0,37.0,20.0,44.0,182.0,JAN,2018,,,,,,
SEMIČ,24.0,23.0,33.0,27.0,25.0,72.0,204.0,JAN,2018,,,,,,
SEVNICA,57.0,80.0,133.0,107.0,114.0,169.0,660.0,JAN,2018,,,,,,
SEŽANA,32.0,59.0,105.0,94.0,61.0,149.0,500.0,JAN,2018,,,,,,
SLOVENJ GRADEC,53.0,81.0,113.0,140.0,82.0,156.0,625.0,JAN,2018,,,,,,
SLOVENSKA BISTRICA,105.0,145.0,245.0,228.0,110.0,199.0,1032.0,JAN,2018,,,,,,
SLOVENSKE KONJICE,76.0,109.0,168.0,174.0,100.0,212.0,839.0,JAN,2018,,,,,,
SODRAŽICA,3.0,4.0,10.0,6.0,9.0,25.0,57.0,JAN,2018,,,,,,
SOLČAVA,3.0,3.0,4.0,2.0,3.0,7.0,22.0,JAN,2018,,,,,,
SREDIŠČE OB DRAVI,8.0,13.0,17.0,13.0,14.0,28.0,93.0,JAN,2018,,,,,,
STARŠE,23.0,21.0,40.0,19.0,15.0,50.0,168.0,JAN,2018,,,,,,
STRAŽA,4.0,11.0,19.0,13.0,12.0,35.0,94.0,JAN,2018,,,,,,
SVETA ANA,11.0,8.0,24.0,13.0,16.0,20.0,92.0,JAN,2018,,,,,,
SVETA TROJICA V SLOVENSKIH GORICAH,1.0,8.0,11.0,17.0,12.0,19.0,68.0,JAN,2018,,,,,,
SVETI ANDRAŽ V SLOV. GORICAH,3.0,1.0,9.0,5.0,5.0,6.0,29.0,JAN,2018,,,,,,
SVETI JURIJ OB ŠČAVNICI,17.0,17.0,27.0,33.0,32.0,53.0,179.0,JAN,2018,,,,,,
SVETI JURIJ V SLOVENSKIH GORICAH,8.0,10.0,4.0,9.0,8.0,10.0,49.0,JAN,2018,,,,,,
SVETI TOMAŽ,8.0,8.0,17.0,29.0,14.0,18.0,94.0,JAN,2018,,,,,,
ŠALOVCI,10.0,8.0,13.0,18.0,12.0,20.0,81.0,JAN,2018,,,,,,
ŠEMPETER-VRTOJBA,12.0,21.0,42.0,42.0,15.0,59.0,191.0,JAN,2018,,,,,,
ŠENČUR,21.0,23.0,37.0,39.0,27.0,64.0,211.0,JAN,2018,,,,,,
ŠENTILJ,33.0,48.0,64.0,72.0,38.0,103.0,358.0,JAN,2018,,,,,,
ŠENTJERNEJ,32.0,33.0,49.0,37.0,24.0,60.0,235.0,JAN,2018,,,,,,
ŠENTJUR,63.0,98.0,173.0,151.0,108.0,194.0,787.0,JAN,2018,,,,,,
ŠENTRUPERT,2.0,7.0,15.0,12.0,11.0,30.0,77.0,JAN,2018,,,,,,
ŠKOCJAN,30.0,21.0,29.0,26.0,17.0,29.0,152.0,JAN,2018,,,,,,
ŠKOFJA LOKA,52.0,69.0,123.0,96.0,71.0,196.0,607.0,JAN,2018,,,,,,
ŠKOFLJICA,21.0,41.0,72.0,71.0,36.0,95.0,336.0,JAN,2018,,,,,,
ŠMARJE PRI JELŠAH,34.0,58.0,114.0,88.0,73.0,108.0,475.0,JAN,2018,,,,,,
ŠMARJEŠKE TOPLICE,6.0,7.0,18.0,11.0,9.0,34.0,85.0,JAN,2018,,,,,,
ŠMARTNO OB PAKI,7.0,16.0,27.0,22.0,15.0,32.0,119.0,JAN,2018,,,,,,
ŠMARTNO PRI LITIJI,12.0,21.0,25.0,35.0,19.0,39.0,151.0,JAN,2018,,,,,,
ŠOŠTANJ,38.0,44.0,100.0,57.0,40.0,78.0,357.0,JAN,2018,,,,,,
ŠTORE,10.0,22.0,35.0,42.0,20.0,41.0,170.0,JAN,2018,,,,,,
TABOR,3.0,13.0,9.0,8.0,10.0,19.0,62.0,JAN,2018,,,,,,
TIŠINA,35.0,21.0,34.0,67.0,52.0,64.0,273.0,JAN,2018,,,,,,
TOLMIN,10.0,38.0,49.0,47.0,40.0,114.0,298.0,JAN,2018,,,,,,
TRBOVLJE,81.0,111.0,244.0,165.0,155.0,241.0,997.0,JAN,2018,,,,,,
TREBNJE,40.0,72.0,100.0,81.0,34.0,125.0,452.0,JAN,2018,,,,,,
TRNOVSKA VAS,4.0,5.0,10.0,5.0,2.0,12.0,38.0,JAN,2018,,,,,,
TRZIN,9.0,15.0,26.0,20.0,16.0,30.0,116.0,JAN,2018,,,,,,
TRŽIČ,47.0,44.0,96.0,82.0,72.0,193.0,534.0,JAN,2018,,,,,,
TURNIŠČE,28.0,20.0,51.0,37.0,43.0,57.0,236.0,JAN,2018,,,,,,
VELENJE,166.0,186.0,414.0,271.0,162.0,426.0,1625.0,JAN,2018,,,,,,
VELIKA POLANA,9.0,5.0,13.0,19.0,14.0,23.0,83.0,JAN,2018,,,,,,
VELIKE LAŠČE,6.0,15.0,22.0,19.0,16.0,32.0,110.0,JAN,2018,,,,,,
VERŽEJ,5.0,14.0,4.0,10.0,7.0,15.0,55.0,JAN,2018,,,,,,
VIDEM,19.0,23.0,32.0,34.0,27.0,57.0,192.0,JAN,2018,,,,,,
VIPAVA,19.0,26.0,46.0,36.0,21.0,48.0,196.0,JAN,2018,,,,,,
VITANJE,9.0,14.0,20.0,11.0,10.0,22.0,86.0,JAN,2018,,,,,,
VODICE,16.0,20.0,28.0,21.0,11.0,40.0,136.0,JAN,2018,,,,,,
VOJNIK,35.0,54.0,61.0,57.0,43.0,82.0,332.0,JAN,2018,,,,,,
VRANSKO,10.0,10.0,12.0,28.0,18.0,24.0,102.0,JAN,2018,,,,,,
VRHNIKA,35.0,82.0,153.0,119.0,86.0,191.0,666.0,JAN,2018,,,,,,
VUZENICA,10.0,18.0,27.0,20.0,16.0,26.0,117.0,JAN,2018,,,,,,
ZAGORJE OB SAVI,66.0,93.0,148.0,121.0,79.0,155.0,662.0,JAN,2018,,,,,,
ZAVRČ,15.0,6.0,12.0,13.0,10.0,13.0,69.0,JAN,2018,,,,,,
ZREČE,25.0,38.0,46.0,52.0,42.0,104.0,307.0,JAN,2018,,,,,,
ŽALEC,78.0,118.0,218.0,240.0,153.0,303.0,1110.0,JAN,2018,,,,,,
ŽELEZNIKI,7.0,10.0,12.0,15.0,13.0,47.0,104.0,JAN,2018,,,,,,
ŽETALE,4.0,12.0,8.0,11.0,1.0,11.0,47.0,JAN,2018,,,,,,
ŽIRI,9.0,7.0,19.0,9.0,7.0,43.0,94.0,JAN,2018,,,,,,
ŽIROVNICA,8.0,15.0,17.0,21.0,8.0,35.0,104.0,JAN,2018,,,,,,
ŽUŽEMBERK,8.0,9.0,17.0,21.0,25.0,28.0,108.0,JAN,2018,,,,,,
Občina izven RS,44.0,103.0,183.0,110.0,46.0,81.0,567.0,JAN,2018,,,,,,
,,,,,,,,JAN,2018,,,,,,
,,,,,,,87919.0,JAN,2018,,,,,,
AJDOVŠČINA,48.0,75.0,141.0,113.0,106.0,175.0,658.0,FEB,2018,,,,,,
ANKARAN,4.0,14.0,22.0,29.0,12.0,35.0,116.0,FEB,2018,,,,,,
APAČE,19.0,25.0,41.0,38.0,36.0,57.0,216.0,FEB,2018,,,,,,
BELTINCI,65.0,51.0,105.0,98.0,96.0,145.0,560.0,FEB,2018,,,,,,
BENEDIKT,10.0,6.0,18.0,14.0,6.0,23.0,77.0,FEB,2018,,,,,,
BISTRICA OB SOTLI,4.0,4.0,11.0,17.0,3.0,9.0,48.0,FEB,2018,,,,,,
BLED,17.0,37.0,44.0,46.0,20.0,62.0,226.0,FEB,2018,,,,,,
BLOKE,7.0,10.0,9.0,9.0,8.0,25.0,68.0,FEB,2018,,,,,,
BOHINJ,7.0,15.0,28.0,29.0,18.0,33.0,130.0,FEB,2018,,,,,,
BOROVNICA,11.0,16.0,38.0,39.0,18.0,57.0,179.0,FEB,2018,,,,,,
BOVEC,2.0,6.0,26.0,17.0,9.0,39.0,99.0,FEB,2018,,,,,,
BRASLOVČE,23.0,25.0,37.0,30.0,29.0,53.0,197.0,FEB,2018,,,,,,
BRDA,8.0,20.0,36.0,21.0,12.0,31.0,128.0,FEB,2018,,,,,,
BREZOVICA,22.0,41.0,84.0,81.0,54.0,104.0,386.0,FEB,2018,,,,,,
BREŽICE,82.0,135.0,201.0,233.0,168.0,342.0,1161.0,FEB,2018,,,,,,
CANKOVA,12.0,9.0,21.0,29.0,22.0,38.0,131.0,FEB,2018,,,,,,
CELJE,163.0,281.0,632.0,575.0,347.0,725.0,2723.0,FEB,2018,,,,,,
CERKLJE NA GORENJSKEM,12.0,27.0,49.0,28.0,22.0,51.0,189.0,FEB,2018,,,,,,
CERKNICA,27.0,48.0,80.0,78.0,47.0,142.0,422.0,FEB,2018,,,,,,
CERKNO,8.0,8.0,18.0,16.0,4.0,18.0,72.0,FEB,2018,,,,,,
CERKVENJAK,9.0,4.0,11.0,10.0,9.0,16.0,59.0,FEB,2018,,,,,,
CIRKULANE,6.0,10.0,15.0,20.0,11.0,30.0,92.0,FEB,2018,,,,,,
ČRENŠOVCI,51.0,31.0,57.0,45.0,42.0,87.0,313.0,FEB,2018,,,,,,
ČRNA NA KOROŠKEM,10.0,13.0,27.0,15.0,16.0,17.0,98.0,FEB,2018,,,,,,
ČRNOMELJ,94.0,76.0,155.0,133.0,113.0,265.0,836.0,FEB,2018,,,,,,
DESTRNIK,13.0,8.0,16.0,14.0,9.0,16.0,76.0,FEB,2018,,,,,,
DIVAČA,10.0,20.0,31.0,22.0,24.0,46.0,153.0,FEB,2018,,,,,,
DOBJE,4.0,2.0,12.0,4.0,4.0,8.0,34.0,FEB,2018,,,,,,
DOBREPOLJE,5.0,12.0,32.0,23.0,16.0,36.0,124.0,FEB,2018,,,,,,
DOBRNA,4.0,7.0,15.0,7.0,10.0,14.0,57.0,FEB,2018,,,,,,
DOBROVA-POLHOV GRADEC,12.0,29.0,30.0,44.0,23.0,53.0,191.0,FEB,2018,,,,,,
DOBROVNIK,8.0,15.0,19.0,26.0,15.0,30.0,113.0,FEB,2018,,,,,,
DOL PRI LJUBLJANI,11.0,27.0,40.0,35.0,26.0,64.0,203.0,FEB,2018,,,,,,
DOLENJSKE TOPLICE,7.0,10.0,6.0,15.0,9.0,29.0,76.0,FEB,2018,,,,,,
DOMŽALE,69.0,122.0,246.0,237.0,142.0,314.0,1130.0,FEB,2018,,,,,,
DORNAVA,7.0,8.0,15.0,19.0,11.0,11.0,71.0,FEB,2018,,,,,,
DRAVOGRAD,34.0,31.0,80.0,70.0,44.0,73.0,332.0,FEB,2018,,,,,,
DUPLEK,31.0,37.0,63.0,54.0,40.0,92.0,317.0,FEB,2018,,,,,,
GORENJA VAS-POLJANE,16.0,17.0,14.0,15.0,18.0,45.0,125.0,FEB,2018,,,,,,
GORIŠNICA,13.0,16.0,35.0,19.0,17.0,39.0,139.0,FEB,2018,,,,,,
GORJE,5.0,9.0,24.0,17.0,7.0,23.0,85.0,FEB,2018,,,,,,
GORNJA RADGONA,40.0,37.0,103.0,83.0,71.0,138.0,472.0,FEB,2018,,,,,,
GORNJI GRAD,10.0,12.0,17.0,12.0,10.0,16.0,77.0,FEB,2018,,,,,,
GORNJI PETROVCI,9.0,10.0,21.0,26.0,15.0,47.0,128.0,FEB,2018,,,,,,
GRAD,8.0,9.0,19.0,22.0,20.0,36.0,114.0,FEB,2018,,,,,,
GROSUPLJE,84.0,84.0,184.0,154.0,84.0,192.0,782.0,FEB,2018,,,,,,
HAJDINA,16.0,16.0,25.0,17.0,11.0,37.0,122.0,FEB,2018,,,,,,
HOČE-SLIVNICA,57.0,62.0,97.0,99.0,65.0,148.0,528.0,FEB,2018,,,,,,
HODOŠ,0.0,4.0,3.0,0.0,4.0,4.0,15.0,FEB,2018,,,,,,
HORJUL,7.0,17.0,13.0,16.0,7.0,9.0,69.0,FEB,2018,,,,,,
HRASTNIK,34.0,52.0,104.0,103.0,63.0,113.0,469.0,FEB,2018,,,,,,
HRPELJE-KOZINA,9.0,9.0,46.0,22.0,18.0,44.0,148.0,FEB,2018,,,,,,
IDRIJA,16.0,36.0,52.0,30.0,35.0,65.0,234.0,FEB,2018,,,,,,
IG,17.0,19.0,36.0,36.0,26.0,63.0,197.0,FEB,2018,,,,,,
ILIRSKA BISTRICA,27.0,44.0,89.0,90.0,76.0,138.0,464.0,FEB,2018,,,,,,
IVANČNA GORICA,43.0,51.0,96.0,89.0,73.0,127.0,479.0,FEB,2018,,,,,,
IZOLA,42.0,48.0,125.0,120.0,84.0,201.0,620.0,FEB,2018,,,,,,
JESENICE,52.0,50.0,120.0,105.0,71.0,220.0,618.0,FEB,2018,,,,,,
JEZERSKO,0.0,5.0,5.0,2.0,1.0,2.0,15.0,FEB,2018,,,,,,
JURŠINCI,12.0,6.0,18.0,12.0,12.0,13.0,73.0,FEB,2018,,,,,,
